epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.10808,0.70875,0.6,1,0.69365,7.14e-06,7.14e-06,7.14e-06
2,10.9721,0.63831,0.6,1,0.6748,2.00063e-05,2.00063e-05,2.00063e-05
3,15.9173,0.63863,0.6,1,0.66163,3.09876e-05,3.09876e-05,3.09876e-05
4,20.5678,0.58082,0.6,1,0.65296,4.0084e-05,4.0084e-05,4.0084e-05
5,25.349,0.51143,0.6,1,0.64708,4.72954e-05,4.72954e-05,4.72954e-05
6,30.1479,0.46259,0.6,1,0.64659,5.26218e-05,5.26218e-05,5.26218e-05
7,34.8599,0.47567,0.6,1,0.65208,5.60633e-05,5.60633e-05,5.60633e-05
8,39.6401,0.40374,0.7,1,0.66235,5.76198e-05,5.76198e-05,5.76198e-05
9,44.2804,0.3381,0.7,1,0.66324,5.72914e-05,5.72914e-05,5.72914e-05
10,48.9031,0.30484,0.7,1,0.6754,5.5078e-05,5.5078e-05,5.5078e-05
11,53.6844,0.30067,0.7,1,0.67978,5.09796e-05,5.09796e-05,5.09796e-05
12,58.4195,0.30246,0.7,1,0.68524,4.49963e-05,4.49963e-05,4.49963e-05
13,63.1897,0.26648,0.7,1,0.68679,3.7128e-05,3.7128e-05,3.7128e-05
14,67.8875,0.29635,0.6,1,0.68765,2.73748e-05,2.73748e-05,2.73748e-05
15,72.5657,0.31408,0.6,1,0.6963,1.57366e-05,1.57366e-05,1.57366e-05
