epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.76398,0.65924,0.75,1,0.62595,0,0,0
2,6.64855,0.68782,0.75,1,0.62373,6.66876e-06,6.66876e-06,6.66876e-06
3,9.55176,0.66843,1,1,0.62383,1.2395e-05,1.2395e-05,1.2395e-05
4,12.4284,0.64808,0.75,1,0.62203,1.71788e-05,1.71788e-05,1.71788e-05
5,15.3021,0.60687,0.75,1,0.62311,2.10202e-05,2.10202e-05,2.10202e-05
6,18.0792,0.56662,0.75,1,0.62428,2.3919e-05,2.3919e-05,2.3919e-05
7,20.8517,0.58402,0.75,1,0.62275,2.58754e-05,2.58754e-05,2.58754e-05
8,23.6552,0.50092,0.75,1,0.62408,2.68892e-05,2.68892e-05,2.68892e-05
9,26.4128,0.48808,0.75,1,0.62593,2.69606e-05,2.69606e-05,2.69606e-05
10,29.2072,0.48095,0.75,1,0.62701,2.60896e-05,2.60896e-05,2.60896e-05
11,32.0009,0.43725,0.75,1,0.63156,2.4276e-05,2.4276e-05,2.4276e-05
12,34.7515,0.38007,0.75,1,0.63509,2.152e-05,2.152e-05,2.152e-05
13,37.5071,0.41245,0.75,1,0.64073,1.78214e-05,1.78214e-05,1.78214e-05
14,40.3194,0.39629,0.75,1,0.64593,1.31804e-05,1.31804e-05,1.31804e-05
15,43.0902,0.37032,0.75,1,0.64954,7.59696e-06,7.59696e-06,7.59696e-06
