epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.06888,0.6932,0.75,1,0.69898,0,0,0
2,7.17052,0.67714,0.75,1,0.69545,6.66876e-06,6.66876e-06,6.66876e-06
3,10.171,0.73076,0.75,1,0.68427,1.2395e-05,1.2395e-05,1.2395e-05
4,13.155,0.62815,0.75,1,0.6709,1.71788e-05,1.71788e-05,1.71788e-05
5,16.1893,0.64022,0.75,1,0.65472,2.10202e-05,2.10202e-05,2.10202e-05
6,19.1511,0.59576,0.75,1,0.64051,2.3919e-05,2.3919e-05,2.3919e-05
7,22.1378,0.54901,0.75,1,0.62396,2.58754e-05,2.58754e-05,2.58754e-05
8,25.1698,0.51569,0.75,1,0.61024,2.68892e-05,2.68892e-05,2.68892e-05
9,28.1076,0.46516,0.75,1,0.60081,2.69606e-05,2.69606e-05,2.69606e-05
10,31.1113,0.50269,0.75,1,0.58893,2.60896e-05,2.60896e-05,2.60896e-05
11,34.0684,0.40107,0.75,1,0.57887,2.4276e-05,2.4276e-05,2.4276e-05
12,37.0668,0.38022,0.75,1,0.57047,2.152e-05,2.152e-05,2.152e-05
13,40.1071,0.38134,0.75,1,0.56269,1.78214e-05,1.78214e-05,1.78214e-05
14,43.1103,0.34061,0.75,1,0.56214,1.31804e-05,1.31804e-05,1.31804e-05
15,46.1074,0.36769,0.75,1,0.56425,7.59696e-06,7.59696e-06,7.59696e-06
