epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.30821,0.72886,0.73333,1,0.58852,1.428e-05,1.428e-05,1.428e-05
2,17.6783,0.68728,0.73333,1,0.57608,3.21657e-05,3.21657e-05,3.21657e-05
3,25.9054,0.64584,0.93333,1,0.56245,4.58102e-05,4.58102e-05,4.58102e-05
4,34.0104,0.59432,0.8,1,0.53792,5.52136e-05,5.52136e-05,5.52136e-05
5,42.1326,0.53438,0.8,1,0.51048,6.03758e-05,6.03758e-05,6.03758e-05
6,50.1532,0.51024,0.8,1,0.49357,6.12969e-05,6.12969e-05,6.12969e-05
7,58.2966,0.48948,0.8,1,0.47294,5.79768e-05,5.79768e-05,5.79768e-05
8,66.3239,0.45081,0.8,1,0.46648,5.04155e-05,5.04155e-05,5.04155e-05
9,74.4148,0.41738,0.8,1,0.45511,3.86131e-05,3.86131e-05,3.86131e-05
10,82.4039,0.42862,0.8,1,0.45069,2.25695e-05,2.25695e-05,2.25695e-05
