epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.45155,0.6539,0.5,1,0.6878,7.14e-06,7.14e-06,7.14e-06
2,11.7368,0.65931,0.5,1,0.68576,2.00063e-05,2.00063e-05,2.00063e-05
3,16.8978,0.65544,0.8,1,0.68833,3.09876e-05,3.09876e-05,3.09876e-05
4,21.8857,0.55627,0.7,1,0.69403,4.0084e-05,4.0084e-05,4.0084e-05
5,26.805,0.51915,0.7,1,0.7025,4.72954e-05,4.72954e-05,4.72954e-05
6,31.8123,0.49072,0.7,1,0.71796,5.26218e-05,5.26218e-05,5.26218e-05
7,36.755,0.44565,0.7,1,0.73164,5.60633e-05,5.60633e-05,5.60633e-05
8,41.7708,0.38262,0.7,1,0.74582,5.76198e-05,5.76198e-05,5.76198e-05
9,46.691,0.35268,0.7,1,0.75676,5.72914e-05,5.72914e-05,5.72914e-05
10,51.7368,0.31112,0.7,1,0.76879,5.5078e-05,5.5078e-05,5.5078e-05
11,56.6426,0.2862,0.7,1,0.77347,5.09796e-05,5.09796e-05,5.09796e-05
12,61.5367,0.28453,0.7,1,0.77812,4.49963e-05,4.49963e-05,4.49963e-05
13,66.4958,0.28783,0.7,1,0.77699,3.7128e-05,3.7128e-05,3.7128e-05
14,71.3758,0.26596,0.7,1,0.77497,2.73748e-05,2.73748e-05,2.73748e-05
15,76.3125,0.38384,0.7,1,0.77216,1.57366e-05,1.57366e-05,1.57366e-05
