epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.24399,0.71994,0.6,1,0.62282,1.428e-05,1.428e-05,1.428e-05
2,17.614,0.67746,0.6,1,0.64551,3.21657e-05,3.21657e-05,3.21657e-05
3,25.6634,0.61061,0.6,1,0.69611,4.58102e-05,4.58102e-05,4.58102e-05
4,33.6766,0.51401,0.46667,1,0.78072,5.52136e-05,5.52136e-05,5.52136e-05
5,41.8325,0.46979,0.4,1,0.91663,6.03758e-05,6.03758e-05,6.03758e-05
6,49.9971,0.42283,0.33333,1,0.97998,6.12969e-05,6.12969e-05,6.12969e-05
7,58.0284,0.38262,0.33333,1,1.05791,5.79768e-05,5.79768e-05,5.79768e-05
8,66.0207,0.36803,0.33333,1,1.09211,5.04155e-05,5.04155e-05,5.04155e-05
9,74.2215,0.31357,0.4,1,1.11641,3.86131e-05,3.86131e-05,3.86131e-05
10,82.1125,0.30352,0.4,1,1.13294,2.25695e-05,2.25695e-05,2.25695e-05
