epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.21583,0.70716,0.8,1,0.60741,1.428e-05,1.428e-05,1.428e-05
2,17.4481,0.67306,0.8,1,0.58301,3.21657e-05,3.21657e-05,3.21657e-05
3,25.4237,0.63488,0.8,1,0.56513,4.58102e-05,4.58102e-05,4.58102e-05
4,33.4,0.56662,0.8,1,0.555,5.52136e-05,5.52136e-05,5.52136e-05
5,41.4335,0.51613,0.73333,1,0.56171,6.03758e-05,6.03758e-05,6.03758e-05
6,49.2923,0.50538,0.73333,1,0.56037,6.12969e-05,6.12969e-05,6.12969e-05
7,57.2338,0.4343,0.73333,1,0.57562,5.79768e-05,5.79768e-05,5.79768e-05
8,65.1608,0.39947,0.73333,1,0.58136,5.04155e-05,5.04155e-05,5.04155e-05
9,73.1975,0.40606,0.73333,1,0.5887,3.86131e-05,3.86131e-05,3.86131e-05
10,81.0973,0.37815,0.73333,1,0.59699,2.25695e-05,2.25695e-05,2.25695e-05
